frame_idx,category,timestamp_sec,filename
19,far_side,0.76,far_side\frame_000019.jpg
120,far_side,4.8,far_side\frame_000120.jpg
360,crowd_duel,14.4,crowd_duel\frame_000360.jpg
375,crowd_duel,15.0,crowd_duel\frame_000375.jpg
495,far_side,19.8,far_side\frame_000495.jpg
1016,fast_motion,40.64,fast_motion\frame_001016.jpg
1218,crowd_duel,48.72,crowd_duel\frame_001218.jpg
1322,far_side,52.88,far_side\frame_001322.jpg
1431,far_side,57.24,far_side\frame_001431.jpg
1535,fast_motion,61.4,fast_motion\frame_001535.jpg
1541,fast_motion,61.64,fast_motion\frame_001541.jpg
1549,fast_motion,61.96,fast_motion\frame_001549.jpg
1599,fast_motion,63.96,fast_motion\frame_001599.jpg
2159,far_side,86.36,far_side\frame_002159.jpg
2183,crowd_duel,87.32,crowd_duel\frame_002183.jpg
2475,far_side,99.0,far_side\frame_002475.jpg
2538,far_side,101.52,far_side\frame_002538.jpg
3043,far_side,121.72,far_side\frame_003043.jpg
3321,far_side,132.84,far_side\frame_003321.jpg
3323,crowd_duel,132.92,crowd_duel\frame_003323.jpg
3347,far_side,133.88,far_side\frame_003347.jpg
3683,fast_motion,147.32,fast_motion\frame_003683.jpg
3745,crowd_duel,149.8,crowd_duel\frame_003745.jpg
3802,crowd_duel,152.08,crowd_duel\frame_003802.jpg
4067,crowd_duel,162.68,crowd_duel\frame_004067.jpg
4106,lost_gaps,164.24,lost_gaps\frame_004106.jpg
4189,lost_gaps,167.56,lost_gaps\frame_004189.jpg
4273,lost_gaps,170.92,lost_gaps\frame_004273.jpg
4308,far_side,172.32,far_side\frame_004308.jpg
4589,far_side,183.56,far_side\frame_004589.jpg
4615,far_side,184.6,far_side\frame_004615.jpg
4873,crowd_duel,194.92,crowd_duel\frame_004873.jpg
4965,crowd_duel,198.6,crowd_duel\frame_004965.jpg
5359,crowd_duel,214.36,crowd_duel\frame_005359.jpg
5905,crowd_duel,236.2,crowd_duel\frame_005905.jpg
